country,country_name,country_id,year,family,seat_share,cabinet_share
AUS,Australia,33,1961,eco,0,0
AUS,Australia,33,1961,lib,0,0
AUS,Australia,33,1961,other,0,0
AUS,Australia,33,1961,right,0,0
AUS,Australia,33,1961,soc,37.9,0
AUS,Australia,33,1962,agr,0,0
AUS,Australia,33,1962,chr,0,0
AUS,Australia,33,1962,com,0,0
AUS,Australia,33,1962,con,50,100
AUS,Australia,33,1962,eco,0,0
AUS,Australia,33,1962,lib,0,0
AUS,Australia,33,1962,other,0,0
AUS,Australia,33,1962,right,0,0
AUS,Australia,33,1962,soc,50,0
AUS,Australia,33,1963,agr,0,0
AUS,Australia,33,1963,chr,0,0
AUS,Australia,33,1963,com,0,0
AUS,Australia,33,1963,con,50,100
AUS,Australia,33,1963,eco,0,0
AUS,Australia,33,1963,lib,0,0
AUS,Australia,33,1963,other,0,0
AUS,Australia,33,1963,right,0,0
AUS,Australia,33,1963,soc,50,0
AUS,Australia,33,1964,agr,0,0
AUS,Australia,33,1964,chr,0,0
AUS,Australia,33,1964,com,0,0
AUS,Australia,33,1964,con,58.1,100
AUS,Australia,33,1964,eco,0,0
AUS,Australia,33,1964,lib,0,0
AUS,Australia,33,1964,other,0,0
AUS,Australia,33,1964,right,0,0
AUS,Australia,33,1964,soc,41.9,0
AUS,Australia,33,1965,agr,0,0
AUS,Australia,33,1965,chr,0,0
AUS,Australia,33,1965,com,0,0
AUS,Australia,33,1965,con,58.1,100
AUS,Australia,33,1965,eco,0,0
AUS,Australia,33,1965,lib,0,0
AUS,Australia,33,1965,other,0,0
AUS,Australia,33,1965,right,0,0
AUS,Australia,33,1965,soc,41.9,0
AUS,Australia,33,1966,agr,0,0
AUS,Australia,33,1966,chr,0,0
AUS,Australia,33,1966,com,0,0
AUS,Australia,33,1966,con,58.1,100
AUS,Australia,33,1966,eco,0,0
AUS,Australia,33,1966,lib,0,0
AUS,Australia,33,1966,other,0,0
AUS,Australia,33,1966,right,0,0
AUS,Australia,33,1966,soc,41.9,0
AUS,Australia,33,1967,agr,0,0
AUS,Australia,33,1967,chr,0,0
AUS,Australia,33,1967,com,0,0
AUS,Australia,33,1967,con,66.1,100
AUS,Australia,33,1967,eco,0,0
AUS,Australia,33,1967,lib,0,0
AUS,Australia,33,1967,other,0.8,0
AUS,Australia,33,1967,right,0,0
AUS,Australia,33,1967,soc,33.1,0
AUS,Australia,33,1968,agr,0,0
AUS,Australia,33,1968,chr,0,0
AUS,Australia,33,1968,com,0,0
AUS,Australia,33,1968,con,66.1,100
AUS,Australia,33,1968,eco,0,0
AUS,Australia,33,1968,lib,0,0
AUS,Australia,33,1968,other,0.8,0
AUS,Australia,33,1968,right,0,0
AUS,Australia,33,1968,soc,33.1,0
AUS,Australia,33,1969,agr,0,0
AUS,Australia,33,1969,chr,0,0
AUS,Australia,33,1969,com,0,0
AUS,Australia,33,1969,con,66.1,100
AUS,Australia,33,1969,eco,0,0
AUS,Australia,33,1969,lib,0,0
AUS,Australia,33,1969,other,0.8,0
AUS,Australia,33,1969,right,0,0
AUS,Australia,33,1969,soc,33.1,0
AUS,Australia,33,1970,agr,0,0
AUS,Australia,33,1970,chr,0,0
AUS,Australia,33,1970,com,0,0
AUS,Australia,33,1970,con,52.8,100
AUS,Australia,33,1970,eco,0,0
AUS,Australia,33,1970,lib,0,0
AUS,Australia,33,1970,other,0,0
AUS,Australia,33,1970,right,0,0
AUS,Australia,33,1970,soc,47.2,0
AUS,Australia,33,1971,agr,0,0
AUS,Australia,33,1971,chr,0,0
AUS,Australia,33,1971,com,0,0
AUS,Australia,33,1971,con,52.8,100
AUS,Australia,33,1971,eco,0,0
AUS,Australia,33,1971,lib,0,0
AUS,Australia,33,1971,other,0,0
AUS,Australia,33,1971,right,0,0
AUS,Australia,33,1971,soc,47.2,0
AUS,Australia,33,1972,agr,0,0
AUS,Australia,33,1972,chr,0,0
AUS,Australia,33,1972,com,0,0
AUS,Australia,33,1972,con,52.8,100
AUS,Australia,33,1972,eco,0,0
AUS,Australia,33,1972,lib,0,0
AUS,Australia,33,1972,other,0,0
AUS,Australia,33,1972,right,0,0
AUS,Australia,33,1972,soc,47.2,0
AUS,Australia,33,1973,agr,0,0
AUS,Australia,33,1973,chr,0,0
AUS,Australia,33,1973,com,0,0
AUS,Australia,33,1973,con,46.4,0
AUS,Australia,33,1973,eco,0,0
AUS,Australia,33,1973,lib,0,0
AUS,Australia,33,1973,other,0,0
AUS,Australia,33,1973,right,0,0
AUS,Australia,33,1973,soc,53.6,100
AUS,Australia,33,1974,agr,0,0
AUS,Australia,33,1974,chr,0,0
AUS,Australia,33,1974,com,0,0
AUS,Australia,33,1974,con,46.4,0
AUS,Australia,33,1974,eco,0,0
AUS,Australia,33,1974,lib,0,0
AUS,Australia,33,1974,other,0,0
AUS,Australia,33,1974,right,0,0
AUS,Australia,33,1974,soc,53.6,100
AUS,Australia,33,1975,agr,0,0
AUS,Australia,33,1975,chr,0,0
AUS,Australia,33,1975,com,0,0
AUS,Australia,33,1975,con,48,0
AUS,Australia,33,1975,eco,0,0
AUS,Australia,33,1975,lib,0,0
AUS,Australia,33,1975,other,0,0
AUS,Australia,33,1975,right,0,0
AUS,Australia,33,1975,soc,52,100
AUS,Australia,33,1976,agr,0,0
AUS,Australia,33,1976,chr,0,0
AUS,Australia,33,1976,com,0,0
AUS,Australia,33,1976,con,70.9,100
AUS,Australia,33,1976,eco,0,0
AUS,Australia,33,1976,lib,0.8,0
AUS,Australia,33,1976,other,0,0
AUS,Australia,33,1976,right,0,0
AUS,Australia,33,1976,soc,28.3,0
AUS,Australia,33,1977,agr,0,0
AUS,Australia,33,1977,chr,0,0
AUS,Australia,33,1977,com,0,0
AUS,Australia,33,1977,con,70.9,100
AUS,Australia,33,1977,eco,0,0
AUS,Australia,33,1977,lib,0.8,0
AUS,Australia,33,1977,other,0,0
AUS,Australia,33,1977,right,0,0
AUS,Australia,33,1977,soc,28.3,0
AUS,Australia,33,1978,agr,0,0
AUS,Australia,33,1978,chr,0,0
AUS,Australia,33,1978,com,0,0
