id,type_id,country_id,date,first_round_election_id,early,wikipedia,seats_total,electorate,votes_cast,votes_valid,data_source,description,comment,previous_parliament_election_id,previous_ep_election_id,previous_cabinet_id,old_countryID,old_parlID
654,13,41,1993-10-10,,1,"http://en.wikipedia.org/wiki/Greek_legislative_election,_1993",300,8861833,7019925,6900311,no-2010,,,284,518,362,300,19930
655,13,35,1968-09-15,,0,"http://en.wikipedia.org/wiki/Swedish_general_election,_1968",233,5445333,4861901,4829379,,,,41,,506,752,19680
656,1,64,2004-06-13,,0,"http://en.wikipedia.org/wiki/European_Parliament_election,_2004_(Belgium)",24,7552240,6857986,6489991,ibz,,,143,624,449,56,1020040
657,13,63,2002-03-17,,1,"http://en.wikipedia.org/wiki/Portuguese_legislative_election,_2002",230,8902713,5473655,5365881,cne,,,352,619,5,620,20020
658,13,72,1962-02-19,,0,"http://en.wikipedia.org/wiki/Maltese_general_election,_1962",50,166936,151533,150606,md,,,611,,1474,470,19620
659,1,60,2004-06-13,,0,"http://en.wikipedia.org/wiki/European_Parliament_election,_2004_(Slovenia)",7,1628918,461807,435869,voltive,,,525,,292,705,1020040
660,13,11,2008-11-08,,0,"http://en.wikipedia.org/wiki/New_Zealand_general_election,_2008",122,2990759,2376480,2344566,ec-nz,,,675,,427,554,20080
661,13,7,1948-06-06,,0,"http://en.wikipedia.org/wiki/Luxembourgian_legislative_election,_1948",51,84724,77895,73674,asl,Partial elections in South and East districts.,,144,,395,442,19480
662,1,7,2009-06-07,,0,"http://en.wikipedia.org/wiki/European_Parliament_election,_2009_(Luxembourg)",6,240673,218423,198364,epl,,,383,593,12,442,1020090
663,13,64,1978-12-17,,1,"http://en.wikipedia.org/wiki/Belgian_general_election,_1978",212,6366655,6042689,5535631,ibz,,,420,,233,56,19780
664,13,43,1993-03-28,,0,"http://en.wikipedia.org/wiki/French_legislative_election,_1993",577,38968660,26725840,25442403,asn,Parliament was dissolved on 21 April 1997.,,643,360,199,250,19930
665,13,56,1956-06-24,,1,"http://en.wikipedia.org/wiki/Icelandic_parliamentary_election,_1956",52,91618,84355,82678,gud97,Early election on 24 June 1956.,,88,,762,352,19560
666,13,11,1960-11-26,,0,"http://en.wikipedia.org/wiki/New_Zealand_general_election,_1960",80,1310742,1176963,1170503,"ec-nz, yb-nzl",,,421,,869,554,19600
667,13,8,1959-03-12,,1,"http://en.wikipedia.org/wiki/Dutch_general_election,_1959",150,6427864,6143409,5999531,verk,,,437,,741,528,19590
668,1,21,1999-06-13,,0,"http://en.wikipedia.org/wiki/European_Parliament_election,_1999_(Denmark)",16,4009594,2023306,1970276,yb-dnk,,,389,434,630,208,1019990
669,13,9,1997-09-16,,0,"http://en.wikipedia.org/wiki/Norwegian_parliamentary_election,_1997",165,3311090,2593669,2584161,seby,,,404,,813,578,19970
670,13,75,1992-09-20,,0,"http://en.wikipedia.org/wiki/Estonian_parliamentary_election,_1992",101,689241,467628,458266,vvk,,,,,,233,19920
671,13,39,1998-05-24,,0,"http://en.wikipedia.org/wiki/Hungarian_parliamentary_election,_1998",386,8062708,4536254,4483974,"essex, ovb",,,620,,488,348,19980
672,1,41,2004-06-13,,0,"http://en.wikipedia.org/wiki/European_Parliament_election,_2004_(Greece)",24,9938863,6283637,6122632,mig,,,201,482,876,300,1020040
673,13,56,1987-04-25,,0,"http://en.wikipedia.org/wiki/Icelandic_parliamentary_election,_1987",63,171402,154438,152722,no-2010,,,114,,393,352,19870
674,13,40,1959-10-25,,0,"http://en.wikipedia.org/wiki/Swiss_federal_election,_1959",196,1473155,1008563,989005,bafs,,,30,,635,756,19590
675,13,11,2005-09-17,,1,"http://en.wikipedia.org/wiki/New_Zealand_general_election,_2005",121,2847396,2304005,2275629,ec-nz,Early election on 17 September 2005.,,572,,845,554,20050
676,1,23,2007-11-25,,0,"http://en.wikipedia.org/wiki/European_Parliament_election,_2007_%28Romania%29",35,18224597,5370171,5122226,ejpr,,,165,4,118,642,1020072
677,1,43,1979-06-10,,0,"http://en.wikipedia.org/wiki/European_Parliament_election,_1979_%28France%29",81,35180531,21356960,20242347,"ep, frpo, idea",,,496,,72,250,1019790
678,13,44,1955-05-26,,1,"http://en.wikipedia.org/wiki/United_Kingdom_general_election,_1955",630,34852179,,26759729,,"Early election on 26 May 1955.
Parliament was dissolved after Churchill resigned as PM and successor Eden called for new elections.",,102,,729,826,19550
679,13,54,1998-09-27,,0,"http://en.wikipedia.org/wiki/German_federal_election,_1998",669,60762751,49947087,49308512,bwl,,,595,540,778,276,19980
680,1,43,1994-06-12,,0,"http://en.wikipedia.org/wiki/European_Parliament_election,_1994_(France)",87,39019797,20584980,19487470,"ejpr, frpo",,,664,360,318,250,1019940
681,13,10,2001-06-18,,0,"http://en.wikipedia.org/wiki/Bulgarian_parliamentary_election,_2001",240,6916151,4618030,4568193,essex,Election on 18 June 2001.,,126,,792,100,20010
682,1,44,1989-06-15,,0,"http://en.wikipedia.org/wiki/European_Parliament_election,_1989_(United_Kingdom)",81,43180720,15896078,15870465,"bef-7, ukeu",,,490,222,297,826,1019890
683,13,29,1979-05-22,,0,"http://en.wikipedia.org/wiki/Canadian_federal_election,_1979",282,15233653,11541000,11455702,"ceoc, nyt, pica",Parliament was dissolved on 14 December 1979 after the fall of the Clark cabinet.,,276,,783,124,19790
684,13,40,1947-10-26,,0,"http://en.wikipedia.org/wiki/Swiss_federal_election,_1947",194,1360453,985499,966680,bafs,,,771,,972,756,19470
686,1,44,1999-06-10,,0,"http://en.wikipedia.org/wiki/European_Parliament_election,_1999_(United_Kingdom)",87,44458638,10681062,10656080,bef-7,,,315,351,838,826,1019990
687,13,27,2000-03-12,,0,"http://en.wikipedia.org/wiki/Spanish_general_election,_2000",350,33969640,23339490,22814467,epp,,,99,585,370,724,20000
688,13,39,2010-04-25,,0,"http://en.wikipedia.org/wiki/Hungarian_parliamentary_election,_2010",386,8025587,5172222,5132531,ovb,,,194,249,162,348,20100
689,13,67,1933-07-01,,0,"http://en.wikipedia.org/wiki/Finnish_parliamentary_election,_1933",200,1789331,1112740,1107823,"no-2010, tila",,,269,,1202,246,19330
